
2025/02/20 (14:13:22) | ===> btop++ v.1.4.0
2025/02/20 (14:13:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:24:42) | ===> btop++ v.1.4.0
2025/02/20 (14:24:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:24:45) | ===> btop++ v.1.4.0
2025/02/20 (14:24:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:25:24) | ===> btop++ v.1.4.0
2025/02/20 (14:25:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:25:30) | ===> btop++ v.1.4.0
2025/02/20 (14:25:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/20 (14:25:44) | INFO: Logger set to INFO
2025/02/20 (14:26:02) | INFO: Quitting! Runtime: 00:00:32

2025/02/20 (14:26:13) | ===> btop++ v.1.4.0
2025/02/20 (14:26:13) | INFO: Logger set to INFO
2025/02/20 (14:26:13) | INFO: Running on /dev/pts/0
2025/02/20 (14:26:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/20 (14:26:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/20 (14:26:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/20 (14:27:03) | INFO: Quitting! Runtime: 00:00:50

2025/02/21 (16:22:41) | ===> btop++ v.1.4.0
2025/02/21 (16:22:41) | INFO: Logger set to INFO
2025/02/21 (16:22:41) | INFO: Running on /dev/pts/0
2025/02/21 (16:22:41) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (16:22:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (16:22:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (18:10:49) | ===> btop++ v.1.4.0
2025/02/21 (18:10:49) | INFO: Logger set to INFO
2025/02/21 (18:10:49) | INFO: Running on /dev/pts/0
2025/02/21 (18:10:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/21 (18:10:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/21 (18:10:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (23:00:57) | ===> btop++ v.1.4.0
2025/02/22 (23:00:57) | INFO: Logger set to INFO
2025/02/22 (23:00:57) | INFO: Running on /dev/pts/1
2025/02/22 (23:00:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/22 (23:00:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/22 (23:00:57) | WARNING: Intel GPU: Failed to initialize PMU
